web_scraper_order,web_scraper_start_url,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,name2,data13,data14,data15,price,data16,title3,data17,data18,data19,data20,data21,data22,image
"1780573623-45","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Kashmiri Embroidered Pashmina Shawl for Women: Christmas Gift","By ShawsanShop","From shop ShawsanShop","ShawsanShop","","Sale Price ₹ 6,518","6,518","4.9","13,037","Original Price ₹ 13,037","(50% off)","(55)","More like this","Made by ShawsanShop","Shop owned by Zainab","ShawsanShop","Add to cart","9 months on Etsy","Zainab","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/61780180/c/1086/1086/0/181/il/fde7c2/8084759729/il_765x1020.8084759729_m94r.jpg"
"1780573623-46","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Hand Embroidered Kalamkari Pashmina Shawl – Authentic Kashmiri Wrap, Winter Wedding Scarf","By Indusweavers","From shop indusweavers","Indusweavers","","Sale Price ₹ 186,311","186,311","5.0","232,889","Original Price ₹ 232,889","(20% off)","(8)","More like this","By indusweavers","3 years on Etsy","indusweavers","Add to cart","","","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/36297693/r/il/9e7268/5338486971/il_765x1020.5338486971_lwkp.jpg"
"1780573623-47","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Beige Kashmiri Pashmina Shawl, Floral Chain Stitch Embroidery (40 X 80 Inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 28,116","28,116","4.8","35,145","Original Price ₹ 35,145","(20% off)","(859)","More like this","By JKSowling","Shop owned by Lim","JKSowling","Add to cart","5 years on Etsy","Lim","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/c/2163/2163/0/603/il/760594/7570980648/il_765x1020.7570980648_hacd.jpg"
"1780573623-48","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Deep Burgundy Pure Pashmina Shawl | Handwoven | Intricate Hand Sozni Kashmiri Embroidery Wrap","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","95,769","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/96aa50/7842390678/il_765x1020.7842390678_8yva.jpg"
"1780573623-49","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Kashmiri Kani Embroidered Pashmina Shawl, Soft Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 9,414","9,414","4.8","11,768","Original Price ₹ 11,768","(20% off)","(859)","More like this","By JKSowling","Shop owned by Lim","JKSowling","Add to cart","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/26145373/c/962/962/82/223/il/f2324b/7973800639/il_765x1020.7973800639_tt0x.jpg"
"1780573623-50","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Handcrafted Green Kashmiri Wool Shawl – Authentic Floral Aari Embroidery Stole – Luxury Winter Wrap","By ShafisbyGazala","From shop ShafisbyGazala","ShafisbyGazala","13,810","","","4.8","","","","(418)","More like this","Made by ShafisbyGazala","Shop owned by Gazala","ShafisbyGazala","Add to cart","6 years on Etsy","Gazala","","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/21637146/r/il/a50ab7/5603960629/il_765x1020.5603960629_capn.jpg"
"1780573623-51","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","100% Authentic Pure Kashmiri Pashmina Shawl, Handwoven Deep Charcoal Black. Wrap, Ultra-Soft |KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","22,178","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/1e23f1/8089136022/il_765x1020.8089136022_2y4m.jpg"
"1780573623-52","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Beige Kashmiri Pashmina Shawl, Kaani Embroidered Wool Wrap","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 13,572","13,572","4.8","16,966","Original Price ₹ 16,966","(20% off)","(859)","More like this","By JKSowling","Shop owned by Lim","JKSowling","Add to cart","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/r/il/c20231/7668697194/il_765x1020.7668697194_nmk2.jpg"
"1780573623-53","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Pakistani Embroidered Pashmina Shawl: Kashmiri Embroidery, Wedding Gift","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 5,905","5,905","4.7","11,810","Original Price ₹ 11,810","(50% off)","(143)","More like this","Made by Shawsans","Shop owned by Muhammad","Shawsans","Add to cart","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/1024/1024/0/98/il/4d1088/7186497732/il_765x1020.7186497732_5fu2.jpg"
"1780573623-54","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Luxury  Pashmina Paisley Shawl: Soft Peach Kashmiri-Inspired Design","By PalishqCollections0","From shop PalishqCollections0","PalishqCollections0","21,619","","","5.0","","","","(19)","More like this","Made by PalishqCollections0","Shop owned by Jaswinder","PalishqCollections0","Add to cart","1.5 years on Etsy","Jaswinder","","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/56023419/r/il/a2db7f/7754800192/il_765x1020.7754800192_p1jy.jpg"
"1780573623-55","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Kashmiri Pashmina Kani Embroidered Shawl, Winter Wrap oft Ethnic Shawl for Women, Traditional Gift for Her","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 8,009","8,009","4.7","16,018","Original Price ₹ 16,018","(50% off)","(143)","More like this","Made by Shawsans","Shop owned by Muhammad","Shawsans","Add to cart","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/2000/2000/0/140/il/7117ae/7029012800/il_765x1020.7029012800_cdam.jpg"
"1780573623-56","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic Pure Handwoven Kashmiri Pashmina Shawl, Black & Gold Zari, Reversible Double-Sided (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","33,358","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/65cf8f/8080997616/il_765x1020.8080997616_345o.jpg"
"1780573623-57","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Authentic Pure Handwoven Kashmiri Pashmina Shawl, Cherry Red & Gold Zari, Reversible Double-Sided (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","33,358","","","5.0","","","","(3)","More like this","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","Add to cart","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/c/1664/1664/0/459/il/3a5c22/8081870394/il_765x1020.8081870394_7mg1.jpg"
"1780573623-58","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Cream White Embroidered Pashmina Shawl : Kashmiri Floral Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","Add to cart","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/4af259/7912158236/il_765x1020.7912158236_ebi4.jpg"
"1780573623-59","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Handmade Kashmiri pure Pashmina Shawl: Floral sozni Embroidered Border,","By TooshPashminashawl","From shop TooshPashminashawl","TooshPashminashawl","","Sale Price ₹ 23,700","23,700","4.7","29,625","Original Price ₹ 29,625","(20% off)","(17)","More like this","By TooshPashminashawl","Shop owned by sitara","TooshPashminashawl","Add to cart","2.5 years on Etsy","sitara","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/25734426/r/il/6a16b2/7697313888/il_765x1020.7697313888_c4xa.jpg"
"1780573623-60","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Kashmiri Aari Embroidered 100% Pure Wool Pashmina Shawl and Wrap","By ShafisbyGazala","From shop ShafisbyGazala","ShafisbyGazala","13,810","","","4.8","","","","(418)","More like this","Made by ShafisbyGazala","Shop owned by Gazala","ShafisbyGazala","Add to cart","6 years on Etsy","Gazala","","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/21637146/c/1630/1630/264/333/il/7d71bd/4251812778/il_765x1020.4251812778_4esu.jpg"
"1780573623-61","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Kashmiri Pashmina Pure Sozni Bail Boti Scarf – Hand Embroidered Luxury Stole| Authentic Kashmiri Wrap for Women pashmina soft stole 30/80”","By AyeZaBoutiq","From shop AyeZaBoutiq","AyeZaBoutiq","20,835","","","4.8","","","","(188)","More like this","Designed by AyeZaBoutiq","Shop owned by AyeZa","AyeZaBoutiq","Add to cart","2.5 years on Etsy","AyeZa","Free delivery","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/47467293/r/il/b0110c/7292155979/il_765x1020.7292155979_fz5c.jpg"
"1780573623-62","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Kashmiri Pashmina Pure Sozni Bail Boti Scarf – Hand Embroidered Luxury Stole | Authentic Kashmiri Wrap for Women pashmina shawl 30/80”","By AyeZaBoutiq","From shop AyeZaBoutiq","AyeZaBoutiq","20,835","","","4.8","","","","(188)","More like this","Designed by AyeZaBoutiq","Shop owned by AyeZa","AyeZaBoutiq","Add to cart","2.5 years on Etsy","AyeZa","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/47467293/r/il/15ab5e/7244169130/il_765x1020.7244169130_4loy.jpg"
"1780573623-63","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Luxury Kashmiri Pashmina Shawl with  Stone Embroidery – Elegant Rose Pink Evening Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Made by TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","Add to cart","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/2e23c0/7914702302/il_765x1020.7914702302_mle9.jpg"
"1780573623-64","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false","Pure Pashmina Shawl, Brown Pashmina Shawl, Kashmiri Pashmina, Authentic Kashmiri Tilla, Hand Woven & Hand embroidered, Luxury Shawl.","By PoshArtsStore","From shop PoshArtsStore","PoshArtsStore","35,685","","","4.8","","","","(47)","More like this","Made by PoshArtsStore","Shop owned by Sara","PoshArtsStore","Add to cart","5 years on Etsy","Sara","Free delivery","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/25062970/c/2217/2217/0/28/il/4bf3b7/5547522265/il_765x1020.5547522265_hu55.jpg"
