web_scraper_order,web_scraper_start_url,pagination,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,price,data17,title3,data18,data19,data20,data21,data22,data23,image
"1780573798-44","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Handwoven Red Pure Pashmina Scarf Shawl | Hand Sozni Embroidery | Kashmir Cashmere Wrap","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","81,781","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","Limited stock","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/0e9f14/7838842026/il_765x1020.7838842026_ghha.jpg"
"1780573798-45","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","100% Authentic Pure Kashmiri Pashmina Shawl | Handwoven Reversible Mustard Yellow & Natural Grey Double-Sided Wrap | KPAS Certified","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","37,662","","","5.0","","","","(3)","More like this","Add to cart","By BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/fe3d2c/8112016901/il_765x1020.8112016901_9tqb.jpg"
"1780573798-46","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Luxury Black Kashmiri Pashmina Shawl: Jacquard Woven Wrap (40x80"")","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 7,541","7,541","4.8","9,426","Original Price ₹ 9,426","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/c/618/618/5/0/il/a2edae/4336834048/il_765x1020.4336834048_5z9w.jpg"
"1780573798-47","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","White Kashmiri Pashmina Shawl for Women, Full Embroidered Floral Wrap, Lightweight Handmade Summer Scarf","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","12,898","","","5.0","","","","(19)","More like this","Add to cart","Made by TimelessVaultByTalha","Shop owned by Talha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/57477002/r/il/c43199/8127133899/il_765x1020.8127133899_5hus.jpg"
"1780573798-48","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","100% Authentic Pure Kashmiri Pashmina Shawl | Rust Red & Camel Plaid Scarf | Authentic Handwoven Luxury Checkered Wrap (KPAS Certified)","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","24,556","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/60706692/c/1792/1792/0/299/il/942fd5/8067201820/il_765x1020.8067201820_p9mf.jpg"
"1780573798-49","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Beige Kashmiri Pashmina Shawl – Handwoven Scarf with Aari Embroidery, Soft Winter Wrap","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","10,908","","","5.0","","","","(19)","More like this","Add to cart","Made by TimelessVaultByTalha","Shop owned by Talha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/57477002/r/il/9fc8a8/7278877473/il_765x1020.7278877473_e87n.jpg"
"1780573798-50","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Grey Kashmiri Pashmina Shawl, Kani Embroidered Winter Wrap","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 11,849","11,849","4.8","14,811","Original Price ₹ 14,811","(20% off)","(859)","More like this","Add to cart","Made by JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/r/il/8fb5fd/6909408936/il_765x1020.6909408936_b6g9.jpg"
"1780573798-51","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Blue Embroidery Pashmina Shawl - Elegant Floral Kashmiri Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,660","6,660","4.2","13,322","Original Price ₹ 13,322","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/a3c3cb/8085732824/il_765x1020.8085732824_n778.jpg"
"1780573798-52","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Black Pashmina Scarf: Kashmiri Aari Embroidery, Winter Shawl","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 6,456","6,456","4.7","12,912","Original Price ₹ 12,912","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/1800/1800/107/957/il/772d8b/6895351284/il_765x1020.6895351284_pqt8.jpg"
"1780573798-53","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Luxury Pashmina Shawl: Kashmiri Sozni Embroidery, Natural Jamawar","By Kashmina786","From shop Kashmina786","Kashmina786","","Sale Price ₹ 78,335","78,335","4.8","92,159","Original Price ₹ 92,159","(15% off)","(24)","More like this","Add to cart","Made by Kashmina786","Shop owned by Umer","Kashmina786","7 years on Etsy","Umer","Free delivery","","Limited stock","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/17750182/r/il/d70ea5/7233578279/il_765x1020.7233578279_5qj2.jpg"
"1780573798-54","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Brown Pashmina Shawl, Embroidered Kashmiri Pashmina, Pure Cashmere Scarf, Luxuriously Warm and Soft.","By PoshArtsStore","From shop PoshArtsStore","PoshArtsStore","28,144","","","4.8","","","","(47)","More like this","Add to cart","Made by PoshArtsStore","Shop owned by Sara","PoshArtsStore","5 years on Etsy","Sara","Free delivery","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/25062970/c/2999/2999/1/0/il/c42f72/3438887525/il_765x1020.3438887525_ed3d.jpg"
"1780573798-55","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Authentic Kashmiri Pure Pashmina Shawl with Tie-Dye Design - Hibiscus Petal","By Bagaethnikliving","From shop bagaethnikliving","Bagaethnikliving","25,451","","","4.7","","","","(82)","More like this","Add to cart","Made by bagaethnikliving","Shop owned by Rena","bagaethnikliving","4 years on Etsy","Rena","","","","Add to Favourites","","₹","","","","https://i.etsystatic.com/30863918/r/il/671e18/6825272554/il_765x1020.6825272554_5h5y.jpg"
"1780573798-56","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Embroidered Kashmiri Pashmina Shawl: Handcrafted Wool Wrap","By Shawsans","From shop Shawsans","Shawsans","","Sale Price ₹ 6,456","6,456","4.7","12,912","Original Price ₹ 12,912","(50% off)","(143)","More like this","Add to cart","Made by Shawsans","Shop owned by Muhammad","Shawsans","1 year on Etsy","Muhammad","","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/59740729/c/1739/1739/130/828/il/46ce30/6968982390/il_765x1020.6968982390_163e.jpg"
"1780573798-57","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Navy Blue Embroidered Pure Pashmina Shawl | Authentic Kashmiri Floral Wrap | Cashmere Sozni Embroidery Scarf","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","85,224","","","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","Shop owned by Nowsheen","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","₹","","","","https://i.etsystatic.com/60706692/r/il/6c61b7/8002531159/il_765x1020.8002531159_46tc.jpg"
"1780573798-58","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Handwoven Pure Pashmina Shawl | Authentic 100% Kashmiri Pashmina | Soft Lightweight Wrap | Large 100x200 cm","By KashCraftsUK","From shop KashCraftsUK","KashCraftsUK","","Sale Price ₹ 24,507","24,507","5.0","37,704","Original Price ₹ 37,704","(35% off)","(3)","More like this","Add to cart","By KashCraftsUK","Shop owned by Kash","KashCraftsUK","4 months on Etsy","Kash","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/53243098/r/il/91a893/7753720813/il_765x1020.7753720813_f3k6.jpg"
"1780573798-59","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Exquisite Navy Blue & White Embroidered Pashmina Shawl","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/f85ae9/8092067352/il_765x1020.8092067352_7809.jpg"
"1780573798-60","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Pashmina Kashmiri Embroidered Shawl","By VoguebyFJ","From shop VoguebyFJ","VoguebyFJ","13,022","","","4.4","","","","(23)","More like this","Add to cart","Made by VoguebyFJ","11 months on Etsy","VoguebyFJ","","","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/59881000/r/il/45e9fc/7423191871/il_765x1020.7423191871_dt9r.jpg"
"1780573798-61","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Fine Quality Large Kashmiri Pashmina Kani Weave Shawl/ Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","","Sale Price ₹ 10,341","10,341","4.8","12,926","Original Price ₹ 12,926","(20% off)","(859)","More like this","Add to cart","By JKSowling","Shop owned by Lim","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/26145373/r/il/74e54b/7996697059/il_765x1020.7996697059_ec0y.jpg"
"1780573798-62","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Embroidered Pashmina Shawl for Women, Floral Jaal Embroidery Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","","Sale Price ₹ 6,160","6,160","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","By TRENDINGWAVESCRAFT","Shop owned by Trending","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","","Add to Favourites","Loading","","₹","","₹","https://i.etsystatic.com/63337261/r/il/f8991f/8081253924/il_765x1020.8081253924_acft.jpg"
"1780573798-63","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Handmade Kashmiri Pashmina Shawl: Sozni Embroidery, Soft Toosh","By SaniaLoom","From shop SaniaLoom","SaniaLoom","","Sale Price ₹ 28,474","28,474","1.0","37,965","Original Price ₹ 37,965","(25% off)","(1)","More like this","Add to cart","Made by SaniaLoom","Shop owned by Waqas","SaniaLoom","1 year on Etsy","Waqas","Free delivery","","","Add to Favourites","","","₹","","₹","https://i.etsystatic.com/57980406/r/il/55246d/7202644271/il_765x1020.7202644271_ejw2.jpg"
"1780573798-64","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=2&ref=pagination","","Purple Kashmiri Pashmina Shawl | Handmade Kani Work with Border Embroidery | Wool Winter Wrap","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","12,498","","","5.0","","","","(19)","More like this","Add to cart","By TimelessVaultByTalha","Shop owned by Talha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","Loading","₹","","","","https://i.etsystatic.com/57477002/r/il/d8c838/7615618267/il_765x1020.7615618267_hkev.jpg"
