web_scraper_order,web_scraper_start_url,title,data,data2,name,data3,data4,data5,title2,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,price,data16,title3,data17,data18,data19,data20,data21,data22,data23,image
"1780573853-46","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade Pashmina Shawl | Kashmiri Embroidery Burgundy Shawl | Full Embroidered Scarf For Women","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","","","11,876","5.0","","","","(19)","More like this","Add to cart","By TimelessVaultByTalha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","Limited stock","Add to Favourites","","Loading","","₹","","","https://i.etsystatic.com/57477002/r/il/4727e9/7521037183/il_765x1020.7521037183_1wq3.jpg"
"1780573853-47","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","White Kashmiri Pashmina Kani Weave Shawl, Soft Winter Wrap","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 10,017","10,017","","4.8","12,522","Original Price ₹ 12,522","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/26145373/r/il/fde4e0/7754730693/il_765x1020.7754730693_5ci8.jpg"
"1780573853-48","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Pashmina Royal Blue Embroidered Shawl, Ivory kashmiri Wrap","By TRENDINGWAVESCRAFT","From shop TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","Sale Price ₹ 6,160","6,160","","4.2","12,320","Original Price ₹ 12,320","(50% off)","(5)","More like this","Add to cart","Made by TRENDINGWAVESCRAFT","TRENDINGWAVESCRAFT","6 months on Etsy","Trending","Free delivery","","Limited stock","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/63337261/r/il/3e1805/8077662110/il_765x1020.8077662110_sm9t.jpg"
"1780573853-49","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Luxurious Black Pashmina Kani Weave Shawl – Very Soft, Lightweight (120g)  Wrap (40x80Inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 12,495","12,495","","4.8","15,619","Original Price ₹ 15,619","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","Limited stock","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/26145373/c/1112/1112/11/134/il/c39b91/7378198515/il_765x1020.7378198515_m7av.jpg"
"1780573853-50","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Luxurious, Authentic Brown Pashmina Shawl - Kashmiri PASHMINA Design","By VoguebyFJ","From shop VoguebyFJ","VoguebyFJ","","","13,523","4.4","","","","(23)","More like this","Add to cart","Made by VoguebyFJ","VoguebyFJ","","","Free delivery","","","Add to Favourites","11 months on Etsy","Loading","","₹","","","https://i.etsystatic.com/59881000/r/il/e9b111/7415300434/il_765x1020.7415300434_egbf.jpg"
"1780573853-51","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Luxurious Light Beige Pashmina Kanni Weave Shawl/ Soft, Lightweight, Warm,Winter Wrap (40x80)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 13,572","13,572","","4.8","16,966","Original Price ₹ 16,966","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/26145373/r/il/d25693/7571117996/il_765x1020.7571117996_qh0r.jpg"
"1780573853-52","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade Kashmiri pure Pashmina Shawl: Floral sozni Embroidered Border,","By TooshPashminashawl","From shop TooshPashminashawl","TooshPashminashawl","Sale Price ₹ 23,700","23,700","","4.7","29,625","Original Price ₹ 29,625","(20% off)","(17)","More like this","Add to cart","By TooshPashminashawl","TooshPashminashawl","2.5 years on Etsy","sitara","Free delivery","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/25734426/r/il/a3c7bd/7697277686/il_765x1020.7697277686_414g.jpg"
"1780573853-53","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","White Kashmiri Pashmina Shawl Women, Chikankari Embroidered Summer Scarf, Handmade Floral Wrap","By TimelessVaultByTalha","From shop TimelessVaultByTalha","TimelessVaultByTalha","","","12,898","5.0","","","","(19)","More like this","Add to cart","Designed by TimelessVaultByTalha","TimelessVaultByTalha","8 months on Etsy","Talha","Free delivery","","","Add to Favourites","","Loading","","₹","","","https://i.etsystatic.com/57477002/r/il/46f341/8101916377/il_765x1020.8101916377_9y8r.jpg"
"1780573853-54","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handmade Kashmiri pure Pashmina Shawl: Floral sozni Embroidered Border,","By TooshPashminashawl","From shop TooshPashminashawl","TooshPashminashawl","Sale Price ₹ 23,700","23,700","","4.7","29,625","Original Price ₹ 29,625","(20% off)","(17)","More like this","Add to cart","By TooshPashminashawl","TooshPashminashawl","2.5 years on Etsy","sitara","Free delivery","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/25734426/r/il/b5727b/7745247235/il_765x1020.7745247235_bncw.jpg"
"1780573853-55","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Pure Pashmina Shawl – Handwoven Kashmir Wrap with Sozni Floral Embroidery","By Indusweavers","From shop indusweavers","Indusweavers","Sale Price ₹ 46,601","46,601","","5.0","58,251","Original Price ₹ 58,251","(20% off)","(8)","More like this","Add to cart","By indusweavers","indusweavers","","","Free delivery","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/36297693/r/il/d54a1a/6937047472/il_765x1020.6937047472_ccqv.jpg"
"1780573853-56","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Handwoven Pashmina Scarf Shawl | Natural Beige Cashmere, Kashmir Sozni Embroidery","By BeighCashmereShawls","From shop BeighCashmereShawls","BeighCashmereShawls","","","81,781","5.0","","","","(3)","More like this","Add to cart","Made by BeighCashmereShawls","BeighCashmereShawls","9 months on Etsy","Nowsheen","Free delivery","Dispatched from IN","","Add to Favourites","","","","₹","","","https://i.etsystatic.com/60706692/r/il/3413d6/7140256830/il_765x1020.7140256830_pg23.jpg"
"1780573853-57","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Hand Embroidered on pure Pashmina Shawl: Kashmiri Wool Scarf (40/90) Inches","By TooshPashminashawl","From shop TooshPashminashawl","TooshPashminashawl","Sale Price ₹ 16,159","16,159","","4.7","20,199","Original Price ₹ 20,199","(20% off)","(17)","More like this","Add to cart","By TooshPashminashawl","TooshPashminashawl","2.5 years on Etsy","sitara","Free delivery","","","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/25734426/r/il/1d9618/7484510872/il_765x1020.7484510872_50ir.jpg"
"1780573853-58","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Kashmiri Aari Wool Shawl: Black with White Floral Embroidered Stole","By ShafisbyGazala","From shop ShafisbyGazala","ShafisbyGazala","","","13,810","4.8","","","","(418)","More like this","Add to cart","Made by ShafisbyGazala","ShafisbyGazala","6 years on Etsy","Gazala","","","","Add to Favourites","","Loading","","₹","","","https://i.etsystatic.com/21637146/r/il/b7d5f5/3439459467/il_765x1020.3439459467_hu3f.jpg"
"1780573853-59","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Kani Embroidered Shawl. Kashmiri Pashmina Woman Shawl. Traditional Shawl","By ShawsanShop","From shop ShawsanShop","ShawsanShop","Sale Price ₹ 15,734","15,734","","4.9","31,469","Original Price ₹ 31,469","(50% off)","(55)","More like this","Add to cart","Made by ShawsanShop","ShawsanShop","9 months on Etsy","Zainab","","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/61780180/c/1694/1694/160/834/il/961712/7246644588/il_765x1020.7246644588_e7gp.jpg"
"1780573853-60","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Large Beige and Red Pashmina Kani Weave Shawl, Winter Wrap (40x80 inches)","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 10,017","10,017","","4.8","12,522","Original Price ₹ 12,522","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/26145373/c/1941/1941/29/484/il/fe2c19/6926939954/il_765x1020.6926939954_fg9e.jpg"
"1780573853-61","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Soft Wool Silk Pashmina Shawl: Kashmiri Woven Wrap","By KearaDreamStore","From shop KearaDreamStore","KearaDreamStore","","","6,218","4.3","","","","(21)","More like this","Add to cart","Designed by KearaDreamStore","KearaDreamStore","2.5 years on Etsy","Keara.dreamstore","","","","Add to Favourites","","","","₹","","","https://i.etsystatic.com/47787775/r/il/2c1b3a/6841441349/il_765x1020.6841441349_31lc.jpg"
"1780573853-62","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","GULNAR – Handwoven Jamawar Pashmina Shawl Limited Edition Magenta pink Cashmere from Kashmir Wrap","By Indusweavers","From shop indusweavers","Indusweavers","Sale Price ₹ 195,724","195,724","","5.0","244,655","Original Price ₹ 244,655","(20% off)","(8)","More like this","Add to cart","Made by indusweavers","indusweavers","","","Free delivery","","","Add to Favourites","","Loading","₹","","","₹","https://i.etsystatic.com/36297693/r/il/0f3c81/7628103543/il_765x1020.7628103543_8wyg.jpg"
"1780573853-63","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Kashmiri luxury-feel fabric Pashmina Shawl: Multicolored Kanni Weave, Soft Winter Wrap","By JKSowling","From shop JKSowling","JKSowling","Sale Price ₹ 13,691","13,691","","4.8","17,114","Original Price ₹ 17,114","(20% off)","(859)","More like this","Add to cart","By JKSowling","JKSowling","5 years on Etsy","Lim","","","","Add to Favourites","","","₹","","","₹","https://i.etsystatic.com/26145373/c/842/842/0/508/il/c92076/7996646639/il_765x1020.7996646639_2cwc.jpg"
"1780573853-64","https://www.etsy.com/search?q=authentic+kashmiri+pashmina+shawl&instant_download=false&page=4&ref=pagination","Pure Kani pashmina handwoven Shawl with Zari work in black color Luxury Kashmiri Design Warm Wrap cashmere Wedding Shawl for Christmas Gift","By Thepashminaboutique","From shop Thepashminaboutique","Thepashminaboutique","","","21,036","5.0","","","","(2)","More like this","Add to cart","Made by Thepashminaboutique","Thepashminaboutique","8 months on Etsy","Wajiha","Free delivery","","","Add to Favourites","","Loading","","₹","","","https://i.etsystatic.com/61257301/r/il/9c062c/7506415232/il_765x1020.7506415232_7iwk.jpg"
